Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Petras                   Stankevicius                      1         6         6         4         8         5         8         3         3         2         4         8         1         3         5         3
Jonas                    Vasiliauskas                      8         1         3         2         2         9         5         4         1         2         2         6         2         6         3         1
Jurate                   Jonaitis                          1         4         3         8         7         4         5         6         5         8         9         8         8         5         3         4
Greta                    Paulauskas                        3         2         3         3         1         7         5         4         6         5         9         8         4         7         1         4
Mindaugas                Antanaitis                        3         4         2        10         3         5         7         5         8         9         7         8         8         1         3         7
Ona                      Paulauskas                        8         9         4         6         4         9        10         3         1         4         1         7         2         1         3         2
Jonas                    Baranauskas                       1         8        10         5         3         6         2         4         1        10         7         9         1         1         1         5
Marija                   Jonaitis                          5         6         5         3         3         6         8         3         5         7         7         8         4        10         1         7
Marija                   Jonaitis                          3         1         8         2         3         2         8         9         8        10         1         3         8         5         8         9
Jurate                   Antanaitis                       10         1         9        10         6         1         9         9         4         3         7         4        10         8         6         7
Ona                      Paulauskas                       10         9         8         8         6         6         8         8         6         9         3         6         9         4         9        10
Jonas                    Petraitis                         1         3         5         6         2         4         6         1         2         1         8         1         1         3         1         4
Antanas                  Stankevicius                      7        10         3         8         1         5         2         8         8         5         5        10         6         8         9         9
Mindaugas                Stankevicius                      6         6         9         7        10         6         9         6         7         6         3         4         3         4         1         1
Greta                    Petraitis                        10         9         3         7         6         4         3         7         9         2         2         8         9         6         1         9
Jonas                    Vasiliauskas                      8         6         1         8         5         1         3         1         9         6         3         5         4         4         7         3
Antanas                  Zukauskas                         3         6         8         1         1        10         8         5         2         2         7        10         7         9         5         2
Antanas                  Zukauskas                         7         2         4         9         9         1         9         9         2         9         3         3         2         9         3         1
Ruta                     Vasiliauskas                     10        10        10        10         2         7         2         8        10         5         9         8         7         9         6         9
Greta                    Vasiliauskas                      4         3         7         8         5         6         7         6         8         5         7         7         4         3         7        10
Jonas                    Jonaitis                          9         8         3         3         4         5         6         9         2         5         3         9         3         8         8         6
Tomas                    Paulauskas                        8         9         3         6         7         6         3         2         7         3         5         9         6         9         6         5
Marija                   Petraitis                         9         9         6         9         4         1         6         1         4         7         7         6         1         5         3         3
